Feature_1,Feature_2,Abs_Spearman_Correlation,Above_0_95,Above_0_99
Morph_SurfaceArea_cm2,Morph_Maximum3DDiameter_mm,0.9796600391008176,True,False
IB_IntensityBasedMeanAbsoluteDeviation,GLCM_Contrast,0.9795366332479132,True,False
IB_StandardDeviation,GLCM_Contrast,0.9794167453431042,True,False
IB_IntensityVariance,GLCM_Contrast,0.9794167453431042,True,False
IH_AreaUnderCurveCIVH_Intensity,GLRLM_ShortRunHighGreyLevelEmphasis,0.9793642943847503,True,False
IH_IntensityHistogramMean_Intensity,GLRLM_ShortRunHighGreyLevelEmphasis,0.9793642943847503,True,False
IB_MeanIntensity,GLRLM_ShortRunHighGreyLevelEmphasis,0.9791095325870312,True,False
GLCM_JointVariance,GLCM_DifferenceVariance,0.9789971376762727,True,False
IH_IntensityHistogram75thPercentile,GLCM_Autocorrelation,0.9789244259650198,True,False
Morph_voxelsCounting_vx,NGTDM_Coarseness,0.9786801195736354,True,False
Morph_ApproximateVolume_cm3,NGTDM_Coarseness,0.9786801195736354,True,False
Morph_SphereDiameter_mm,NGTDM_Coarseness,0.9786801195736354,True,False
Morph_Volume_cm3,Morph_SurfaceToVolumeRatio_cm,0.9786055886617987,True,False
Morph_Volume_cm3,NGTDM_Coarseness,0.9784744610202789,True,False
IH_IntensityHistogramInterquartileRange_Intensity,IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,0.9781549280010707,True,False
IH_IntensityHistogram50thPercentile,GLCM_Autocorrelation,0.9780383671662147,True,False
IH_IntensityHistogramMedian_Intensity,GLCM_Autocorrelation,0.9780383671662147,True,False
IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,GLCM_Dissimilarity,0.9779256395270423,True,False
IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,GLCM_DifferenceAverage,0.9779256395270423,True,False
GLCM_JointVariance,GLCM_Contrast,0.9778582025805872,True,False
IB_IntensityBasedMedianAbsoluteDeviation,GLCM_Dissimilarity,0.9778432165924861,True,False
IB_AreaUnderCurveCIVH,GLRLM_ShortRunHighGreyLevelEmphasis,0.9778432165924861,True,False
IB_IntensityBasedMedianAbsoluteDeviation,GLCM_DifferenceAverage,0.9778432165924861,True,False
Morph_SurfaceToVolumeRatio_cm,Morph_SphereDiameter_mm,0.9777659554622505,True,False
Morph_voxelsCounting_vx,Morph_SurfaceToVolumeRatio_cm,0.9777659554622505,True,False
Morph_ApproximateVolume_cm3,Morph_SurfaceToVolumeRatio_cm,0.9777659554622505,True,False
IB_IntensityBasedMedianAbsoluteDeviation,IH_IntensityHistogramInterquartileRange_Intensity,0.9776248136725619,True,False
IB_IntensityBasedMedianAbsoluteDeviation,GLCM_Contrast,0.9774760598840084,True,False
IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,GLCM_Contrast,0.9772587630565421,True,False
IB_IntensityBasedMedianAbsoluteDeviation,GLRLM_GreyLevelVariance,0.9769740292826208,True,False
GLCM_DifferenceAverage,GLCM_InverseDifference,0.9769440573064185,True,False
GLCM_Dissimilarity,GLCM_InverseDifference,0.9769440573064185,True,False
GLSZM_LargeZoneEmphasis,GLSZM_ZonePercentage,0.9768634642816079,True,False
IB_50thIntensityPercentile,IB_RootMeanSquareIntensity,0.9766009460868661,True,False
IB_MedianIntensity,IB_RootMeanSquareIntensity,0.9766009460868661,True,False
IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,GLRLM_GreyLevelVariance,0.9761572929311094,True,False
IB_IntensityInterquartileRange,IB_IntensityBasedMeanAbsoluteDeviation,0.9756063751144949,True,False
GLRLM_ShortRunsEmphasis,GLRLM_RunLengthVariance,0.9754979094546599,True,False
IB_IntensityInterquartileRange,IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,0.9754939793615526,True,False
IH_IntensityHistogramEntropyLog10_Intensity,GLCM_SumEntropy,0.974846018972261,True,False
IH_IntensityHistogramEntropyLog2_Intensity,GLCM_SumEntropy,0.974846018972261,True,False
GLCM_Contrast,GLRLM_GreyLevelVariance,0.9747710890317554,True,False
IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,GLCM_DifferenceAverage,0.9745313132221373,True,False
IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,GLCM_Dissimilarity,0.9745313132221373,True,False
Morph_voxelsCounting_vx,GLRLM_RunLengthNonUniformity,0.9741280318878458,True,False
Morph_SphereDiameter_mm,GLRLM_RunLengthNonUniformity,0.9741280318878458,True,False
Morph_ApproximateVolume_cm3,GLRLM_RunLengthNonUniformity,0.9741280318878458,True,False
Morph_Volume_cm3,GLRLM_RunLengthNonUniformity,0.9740198677126513,True,False
GLRLM_RunLengthVariance,GLSZM_LargeZoneEmphasis,0.9739019017218901,True,False
