Model,Threshold,Net_Benefit
SVM_Linear,0.65,0.16791979949874683
SVM_Linear,0.66,0.17905056759545923
SVM_Linear,0.67,0.19165337586390213
SVM_Linear,0.68,0.1787280701754386
SVM_Linear,0.6900000000000001,0.20458404074702885
SVM_Linear,0.7000000000000001,0.21345029239766083
SVM_Linear,0.7100000000000001,0.21143375680580762
SVM_Linear,0.72,0.19172932330827067
SVM_Linear,0.73,0.1894087069525666
SVM_Linear,0.74,0.17813765182186234
SVM_Linear,0.75,0.16666666666666666
SVM_Linear,0.76,0.16374269005847952
SVM_Linear,0.77,0.17238749046529367
SVM_Linear,0.78,0.15311004784688995
SVM_Linear,0.79,0.14243943191311612
SVM_Linear,0.8,0.12280701754385964
SVM_Linear,0.81,0.10295475530932593
SVM_Linear,0.8200000000000001,0.09161793372319686
SVM_Linear,0.8300000000000001,0.08875128998968006
SVM_Linear,0.8400000000000001,0.07675438596491224
SVM_Linear,0.85,0.06432748538011696
SVM_Linear,0.86,0.025062656641604016
SVM_Linear,0.87,0.07017543859649122
SVM_Linear,0.88,0.06140350877192982
SVM_Linear,0.89,0.06140350877192982
SVM_Linear,0.9,0.05263157894736842
SVM_Linear,0.91,0.05263157894736842
SVM_Linear,0.92,0.03508771929824561
SVM_Linear,0.93,0.03508771929824561
SVM_Linear,0.9400000000000001,0.02631578947368421
SVM_Linear,0.9500000000000001,0.008771929824561403
SVM_Linear,0.9600000000000001,0.008771929824561403
SVM_Linear,0.97,0.008771929824561403
SVM_Linear,0.98,0.008771929824561403
SVM_Linear,0.99,0.0
RandomForest,0.01,0.5569732411837675
RandomForest,0.02,0.5524525599713569
RandomForest,0.03,0.547838668837041
RandomForest,0.04,0.5431286549707602
RandomForest,0.05,0.5383194829178208
RandomForest,0.060000000000000005,0.5334079880552445
RandomForest,0.06999999999999999,0.5283908696472364
RandomForest,0.08,0.5232646834477498
RandomForest,0.09,0.5180258338153074
RandomForest,0.09999999999999999,0.5126705653021442
RandomForest,0.11,0.5071949536763256
RandomForest,0.12,0.5015948963317384
RandomForest,0.13,0.4958661020367009
RandomForest,0.14,0.49000407996736023
RandomForest,0.15000000000000002,0.4840041279669762
RandomForest,0.16,0.4778613199665831
RandomForest,0.17,0.47157049249630095
RandomForest,0.18000000000000002,0.4651262302096705
RandomForest,0.19,0.4585228503357158
RandomForest,0.2,0.45175438596491224
RandomForest,0.21000000000000002,0.4360426382411726
RandomForest,0.22,0.43139901034637884
